
File name: ../temperature/131_20210302T000000_A.DBD

DTDT #1 start: 0x8 size: 0x1fc158

HDR1 start: 0x10 size: 0x48
Job:         BASELOG
Schedule:    A  "temp_humid_log_l"
Serial num:  097165
Timezone:    none
SHA-1:       191149237b2fb88135aaf81afef43434a7955e8a

DHDR start: 0x60 size: 0x100
Oldest record:      0x0
Newest record:      0xcb32
Bytes/record:       0x28
DataPoints/record:  0x3
Channel map:
   0: 1PT385  name:"1PT385"  units:"degC"  fmt:"F1"  prefix:0x0810
   1: 3*V  name:"3*V"  units:"mV"  fmt:"F1"  prefix:0x0810
   2: 3+V  name:"3+V"  units:"mV"  fmt:"F1"  prefix:0x0810

DATA start: 0x168 size: 0x1fbff8
"Timestamp","1PT385 (degC)","3*V (mV)","3+V (mV)"
2020/03/05 14:50:00.0150, 24.9, 329.2, 338.8
2020/03/05 15:00:00.0164, 24.8, 232.7, 329.6
2020/03/05 15:10:00.0018, 24.7, 327.1, 339.4
2020/03/05 15:20:00.0038, 24.5, 182.7, 304.7
2020/03/05 15:30:00.0006, 24.7, 188.6, 308.3
2020/03/05 15:40:00.0006, 24.7, 189.8, 309.1
2020/03/05 15:50:00.0005, 24.5, 191.2, 310.9
2020/03/05 16:00:00.0004, 24.5, 189.9, 309.7
2020/03/05 16:10:00.0005, 24.7, 189.7, 309.2
2020/03/05 16:20:00.0005, 24.6, 189.6, 309.3
2020/03/05 16:30:00.0022, 24.6, 189.7, 309.4
2020/03/05 16:40:00.0004, 24.4, 190.0, 310.4
2020/03/05 16:50:00.0004, 24.6, 189.4, 309.5
2020/03/05 17:00:00.0005, 24.7, 390.4, 339.5
2020/03/05 17:10:00.0005, 25.2, 376.9, 338.1
2020/03/05 17:20:00.0005, 25.2, 276.5, 335.1
2020/03/05 17:30:00.0005, 25.3, 279.4, 334.9
2020/03/05 17:40:00.0005, 25.4, 284.5, 335.1
2020/03/05 17:50:00.0035, 25.5, 291.7, 335.0
2020/03/05 18:00:00.0049, 25.6, 280.9, 334.9
2020/03/05 18:10:00.0004, 25.6, 289.7, 334.8
2020/03/05 18:20:00.0005, 25.5, 280.7, 334.4
2020/03/05 18:30:00.0005, 25.6, 287.3, 334.0
2020/03/05 18:40:00.0006, 25.7, 279.1, 333.8
2020/03/05 18:50:00.0005, 25.7, 277.3, 333.8
2020/03/05 19:00:00.0011, 25.7, 278.2, 334.0
2020/03/05 19:10:00.0031, 25.6, 287.6, 334.0
2020/03/05 19:20:00.0049, 25.6, 278.4, 334.0
2020/03/05 19:30:00.0068, 25.6, 278.2, 334.2
2020/03/05 19:40:00.0004, 25.6, 285.6, 334.1
2020/03/05 19:50:00.0006, 25.6, 278.8, 334.3
2020/03/05 20:00:00.0004, 25.5, 278.0, 334.1
2020/03/05 20:10:00.0005, 25.8, 279.7, 333.9
2020/03/05 20:20:00.0009, 25.6, 277.4, 334.2
2020/03/05 20:30:00.0033, 25.5, 277.7, 334.4
2020/03/05 20:40:00.0050, 25.5, 287.0, 334.4
2020/03/05 20:50:00.0072, 25.5, 278.4, 334.4
2020/03/05 21:00:00.0087, 25.6, 278.4, 334.0
2020/03/05 21:10:00.0004, 25.6, 277.2, 334.5
2020/03/05 21:20:00.0005, 25.5, 285.5, 334.5
2020/03/05 21:30:00.0004, 25.5, 280.1, 334.5
2020/03/05 21:40:00.0009, 25.6, 277.3, 334.2
2020/03/05 21:50:00.0063, 25.6, 277.1, 334.3
2020/03/05 22:00:00.0049, 25.6, 279.0, 334.3
2020/03/05 22:10:00.0070, 25.5, 280.6, 334.4
2020/03/05 22:20:00.0094, 25.6, 277.2, 334.2
2020/03/05 22:30:00.0110, 25.6, 277.1, 334.0
2020/03/05 22:40:00.0006, 25.6, 279.4, 333.6
2020/03/05 22:50:00.0004, 25.6, 277.1, 333.6
2020/03/05 23:00:00.0023, 25.7, 278.8, 333.5
2020/03/05 23:10:00.0029, 25.8, 278.0, 333.1
2020/03/05 23:20:00.0046, 25.8, 276.5, 333.2
2020/03/05 23:30:00.0066, 25.7, 280.0, 333.2
2020/03/05 23:40:00.0087, 25.8, 276.9, 333.3
2020/03/05 23:50:00.0107, 25.8, 276.5, 333.5
2020/03/06 00:00:00.0131, 25.9, 277.5, 333.1
2020/03/06 00:10:00.0006, 25.9, 278.6, 333.2
2020/03/06 00:20:00.0013, 25.8, 276.6, 333.3
2020/03/06 00:30:00.0033, 25.9, 277.4, 333.3
2020/03/06 00:40:00.0052, 25.8, 276.5, 333.3
2020/03/06 00:50:00.0076, 25.8, 277.5, 333.6
2020/03/06 01:00:00.0093, 25.8, 276.7, 333.3
2020/03/06 01:10:00.0118, 25.8, 276.9, 333.3
2020/03/06 01:20:00.0137, 25.9, 279.3, 333.1
2020/03/06 01:30:00.0157, 25.8, 276.2, 333.4
2020/03/06 01:40:00.0017, 25.9, 276.3, 333.1
2020/03/06 01:50:00.0039, 26.0, 276.3, 333.1
2020/03/06 02:00:00.0060, 25.9, 279.6, 332.8
2020/03/06 02:10:00.0005, 26.0, 276.3, 332.7
2020/03/06 02:20:00.0004, 26.0, 276.7, 333.0
2020/03/06 02:30:00.0004, 25.9, 278.4, 333.0
2020/03/06 02:40:00.0004, 26.0, 279.1, 332.8
2020/03/06 02:50:00.0005, 26.0, 277.3, 332.9
2020/03/06 03:00:00.0016, 26.0, 276.5, 333.0
2020/03/06 03:10:00.0005, 25.9, 276.2, 333.3
2020/03/06 03:20:00.0006, 25.9, 276.1, 333.3
2020/03/06 03:30:00.0005, 26.0, 278.8, 333.2
2020/03/06 03:40:00.0004, 26.0, 278.2, 333.2
2020/03/06 03:50:00.0006, 26.0, 279.3, 333.1
2020/03/06 04:00:00.0005, 26.0, 278.2, 333.2
2020/03/06 04:10:00.0005, 26.0, 276.3, 333.3
2020/03/06 04:20:00.0018, 26.0, 276.2, 333.1
2020/03/06 04:30:00.0039, 26.0, 276.2, 333.1
2020/03/06 04:40:00.0005, 26.1, 276.3, 333.0
2020/03/06 04:50:00.0004, 26.0, 277.8, 333.0
2020/03/06 05:00:00.0006, 26.1, 276.0, 332.8
2020/03/06 05:10:00.0006, 26.1, 276.1, 332.9
2020/03/06 05:20:00.0006, 26.1, 377.0, 335.9
2020/03/06 05:30:00.0006, 26.0, 367.1, 336.0
2020/03/06 05:40:00.0018, 25.9, 359.8, 336.2
2020/03/06 05:50:00.0040, 25.9, 373.9, 336.3
2020/03/06 06:00:00.0062, 25.8, 356.3, 336.4
2020/03/06 06:10:00.0005, 25.8, 383.3, 336.4
2020/03/06 06:20:00.0005, 25.2, 365.3, 338.5
2020/03/06 06:30:00.0006, 24.8, 358.9, 338.6
2020/03/06 06:40:00.0005, 24.5, 373.3, 339.1
2020/03/06 06:50:00.0004, 24.6, 366.9, 339.8
2020/03/06 07:00:00.0028, 24.6, 364.2, 339.1
2020/03/06 07:10:00.0052, 24.7, 354.5, 339.6
2020/03/06 07:20:00.0073, 24.7, 362.4, 338.8
2020/03/06 07:30:00.0096, 24.5, 353.1, 339.3
2020/03/06 07:40:00.0006, 24.6, 361.0, 339.4
2020/03/06 07:50:00.0005, 24.6, 371.1, 339.3
2020/03/06 08:00:00.0006, 24.6, 357.1, 339.2
2020/03/06 08:10:00.0013, 24.6, 355.7, 338.9
2020/03/06 08:20:00.0033, 24.3, 353.9, 339.5
2020/03/06 08:30:00.0049, 24.5, 349.9, 339.4
2020/03/06 08:40:00.0070, 24.3, 353.5, 340.4
2020/03/06 08:50:00.0089, 24.3, 367.8, 340.0
2020/03/06 09:00:00.0109, 24.4, 353.3, 339.6
2020/03/06 09:10:00.0004, 24.2, 362.7, 340.3
2020/03/06 09:20:00.0004, 24.4, 352.0, 339.7
2020/03/06 09:30:00.0007, 24.3, 352.6, 340.0
2020/03/06 09:40:00.0028, 24.3, 360.1, 340.0
2020/03/06 09:50:00.0055, 24.5, 357.7, 339.8
2020/03/06 10:00:00.0077, 24.3, 357.8, 340.0
2020/03/06 10:10:00.0104, 24.5, 351.8, 339.7
2020/03/06 10:20:00.0116, 24.2, 370.5, 340.5
2020/03/06 10:30:00.0137, 24.4, 183.4, 304.4
2020/03/06 10:40:00.0005, 24.5, 367.4, 339.3
2020/03/06 10:50:00.0015, 24.5, 349.9, 339.5
2020/03/06 11:00:00.0038, 24.3, 363.9, 339.6
2020/03/06 11:10:00.0057, 24.4, 356.7, 339.8
2020/03/06 11:20:00.0079, 24.1, 351.4, 340.3
2020/03/06 11:30:00.0100, 24.3, 368.2, 339.6
2020/03/06 11:40:00.0126, 24.2, 357.0, 340.0
2020/03/06 11:50:00.0142, 24.1, 358.0, 340.0
2020/03/06 12:00:00.0167, 24.0, 355.6, 341.0
