Zeitstempel,Zeitstempel,Pegelstand [cm]
1917-08-09,1917-08-09,2100.0
1917-08-10,1917-08-10,2100.0
1917-08-11,1917-08-11,2100.0
1917-08-12,1917-08-12,2100.0
1917-08-13,1917-08-13,2100.0
1917-08-14,1917-08-14,2100.0
1917-08-15,1917-08-15,2100.0
1917-08-16,1917-08-16,2100.0
1917-08-17,1917-08-17,2100.0
1917-08-18,1917-08-18,2100.0
1917-08-19,1917-08-19,2100.0
1917-08-20,1917-08-20,2100.0
1917-08-21,1917-08-21,2100.0
1917-08-22,1917-08-22,2100.0
1917-08-23,1917-08-23,2100.0
1917-08-24,1917-08-24,2100.0
1917-08-25,1917-08-25,2100.0
1917-08-26,1917-08-26,2100.0
1917-08-27,1917-08-27,2100.0
1917-08-28,1917-08-28,2100.0
1917-08-29,1917-08-29,2100.0
1917-08-30,1917-08-30,2100.0
1917-08-31,1917-08-31,2120.0
1917-09-01,1917-09-01,2120.0
1917-09-02,1917-09-02,2120.0
1917-09-03,1917-09-03,2120.0
1917-09-04,1917-09-04,2120.0
1917-09-05,1917-09-05,2120.0
1917-09-06,1917-09-06,2120.0
1917-09-07,1917-09-07,2120.0
1917-09-08,1917-09-08,2120.0
1917-09-09,1917-09-09,2120.0
1917-09-10,1917-09-10,2120.0
1917-09-11,1917-09-11,2120.0
1917-09-12,1917-09-12,2120.0
1917-09-13,1917-09-13,2120.0
1917-09-14,1917-09-14,2120.0
1917-09-15,1917-09-15,2120.0
1917-09-16,1917-09-16,2120.0
1917-09-17,1917-09-17,2120.0
1917-09-18,1917-09-18,2120.0
1917-09-19,1917-09-19,2120.0
1917-09-20,1917-09-20,2120.0
1917-09-21,1917-09-21,2120.0
1917-09-22,1917-09-22,2120.0
1917-09-23,1917-09-23,2120.0
1917-09-24,1917-09-24,2120.0
1917-09-25,1917-09-25,2120.0
1917-09-26,1917-09-26,2120.0
1917-09-27,1917-09-27,2120.0
1917-09-28,1917-09-28,2120.0
1917-09-29,1917-09-29,2120.0
1917-09-30,1917-09-30,2120.0
1917-10-01,1917-10-01,2120.0
1917-10-02,1917-10-02,2120.0
1917-10-03,1917-10-03,2120.0
1917-10-04,1917-10-04,2120.0
1917-10-05,1917-10-05,2120.0
1917-10-06,1917-10-06,2120.0
1917-10-07,1917-10-07,2120.0
1917-10-08,1917-10-08,2120.0
1917-10-09,1917-10-09,2120.0
1917-10-10,1917-10-10,2120.0
1917-10-11,1917-10-11,2100.0
1917-10-12,1917-10-12,2100.0
1917-10-13,1917-10-13,2100.0
1917-10-14,1917-10-14,2100.0
1917-10-15,1917-10-15,2100.0
1917-10-16,1917-10-16,2100.0
1917-10-17,1917-10-17,2100.0
1917-10-18,1917-10-18,2100.0
1917-10-19,1917-10-19,2100.0
1917-10-20,1917-10-20,2100.0
1917-10-21,1917-10-21,2100.0
1917-10-22,1917-10-22,2100.0
1917-10-23,1917-10-23,2100.0
1917-10-24,1917-10-24,2100.0
1917-10-25,1917-10-25,2100.0
1917-10-26,1917-10-26,2100.0
1917-10-27,1917-10-27,2100.0
1917-10-28,1917-10-28,2100.0
1917-10-29,1917-10-29,2100.0
1917-10-30,1917-10-30,2100.0
1917-10-31,1917-10-31,2100.0
1917-11-01,1917-11-01,2100.0
1917-11-02,1917-11-02,2100.0
1917-11-03,1917-11-03,2100.0
1917-11-04,1917-11-04,2100.0
1917-11-05,1917-11-05,2100.0
1917-11-06,1917-11-06,2100.0
1917-11-07,1917-11-07,2100.0
1917-11-08,1917-11-08,2100.0
1917-11-09,1917-11-09,2098.0
1917-11-10,1917-11-10,2098.0
1917-11-11,1917-11-11,2098.0
1917-11-12,1917-11-12,2098.0
1917-11-13,1917-11-13,2098.0
1917-11-14,1917-11-14,2096.0
1917-11-15,1917-11-15,2096.0
1917-11-16,1917-11-16,2096.0
1917-11-17,1917-11-17,2096.0
1917-11-18,1917-11-18,2096.0
1917-11-19,1917-11-19,2096.0
1917-11-20,1917-11-20,2094.0
1917-11-21,1917-11-21,2094.0
1917-11-22,1917-11-22,2094.0
1917-11-23,1917-11-23,2094.0
1917-11-24,1917-11-24,2094.0
1917-11-25,1917-11-25,2092.0
1917-11-26,1917-11-26,2092.0
1917-11-27,1917-11-27,2092.0
1917-11-28,1917-11-28,2092.0
1917-11-29,1917-11-29,2092.0
1917-11-30,1917-11-30,2090.0
1917-12-01,1917-12-01,2090.0
1917-12-02,1917-12-02,2090.0
1917-12-03,1917-12-03,2090.0
1917-12-04,1917-12-04,2090.0
1917-12-05,1917-12-05,2090.0
1917-12-06,1917-12-06,2088.0
1917-12-07,1917-12-07,2088.0
1917-12-08,1917-12-08,2088.0
1917-12-09,1917-12-09,2086.0
1917-12-10,1917-12-10,2086.0
1917-12-11,1917-12-11,2084.0
1917-12-12,1917-12-12,2084.0
1917-12-13,1917-12-13,2082.0
1917-12-14,1917-12-14,2082.0
1917-12-15,1917-12-15,2080.0
1917-12-16,1917-12-16,2080.0
1917-12-17,1917-12-17,2080.0
1917-12-18,1917-12-18,2078.0
1917-12-19,1917-12-19,2078.0
1917-12-20,1917-12-20,2078.0
1917-12-21,1917-12-21,2076.0
1917-12-22,1917-12-22,2076.0
1917-12-23,1917-12-23,2076.0
1917-12-24,1917-12-24,2074.0
1917-12-25,1917-12-25,2074.0
1917-12-26,1917-12-26,2074.0
1917-12-27,1917-12-27,2072.0
1917-12-28,1917-12-28,2072.0
1917-12-29,1917-12-29,2070.0
1917-12-30,1917-12-30,2070.0
1917-12-31,1917-12-31,2068.0
1918-01-01,1918-01-01,2068.0
1918-01-02,1918-01-02,2066.0
1918-01-03,1918-01-03,2066.0
1918-01-04,1918-01-04,2064.0
1918-01-05,1918-01-05,2064.0
1918-01-06,1918-01-06,2062.0
1918-01-07,1918-01-07,2062.0
1918-01-08,1918-01-08,2060.0
1918-01-09,1918-01-09,2060.0
1918-01-10,1918-01-10,2058.0
1918-01-11,1918-01-11,2058.0
1918-01-12,1918-01-12,2056.0
1918-01-13,1918-01-13,2056.0
1918-01-14,1918-01-14,2054.0
1918-01-15,1918-01-15,2054.0
1918-01-16,1918-01-16,2052.0
1918-01-17,1918-01-17,2052.0
1918-01-18,1918-01-18,2050.0
1918-01-19,1918-01-19,2050.0
1918-01-20,1918-01-20,2048.0
1918-01-21,1918-01-21,2048.0
1918-01-22,1918-01-22,2046.0
1918-01-23,1918-01-23,2046.0
1918-01-24,1918-01-24,2044.0
1918-01-25,1918-01-25,2044.0
1918-01-26,1918-01-26,2042.0
1918-01-27,1918-01-27,2042.0
1918-01-28,1918-01-28,2040.0
1918-01-29,1918-01-29,2040.0
1918-01-30,1918-01-30,2040.0
1918-01-31,1918-01-31,2038.0
1918-02-01,1918-02-01,2036.0
1918-02-02,1918-02-02,2036.0
1918-02-03,1918-02-03,2034.0
1918-02-04,1918-02-04,2034.0
1918-02-05,1918-02-05,2032.0
1918-02-06,1918-02-06,2030.0
1918-02-07,1918-02-07,2030.0
1918-02-08,1918-02-08,2028.0
1918-02-09,1918-02-09,2028.0
1918-02-10,1918-02-10,2026.0
1918-02-11,1918-02-11,2024.0
1918-02-12,1918-02-12,2022.0
1918-02-13,1918-02-13,2020.0
1918-02-14,1918-02-14,2020.0
1918-02-15,1918-02-15,2018.0
1918-02-16,1918-02-16,2016.0
1918-02-17,1918-02-17,2014.0
1918-02-18,1918-02-18,2012.0
1918-02-19,1918-02-19,2012.0
1918-02-20,1918-02-20,2010.0
1918-02-21,1918-02-21,2008.0
1918-02-22,1918-02-22,2006.0
1918-02-23,1918-02-23,2004.0
1918-02-24,1918-02-24,2004.0
1918-02-25,1918-02-25,2002.0
1918-02-26,1918-02-26,2000.0
1918-02-27,1918-02-27,2000.0
1918-02-28,1918-02-28,1998.0
1918-03-01,1918-03-01,1996.0
1918-03-02,1918-03-02,1996.0
1918-03-03,1918-03-03,1994.0
1918-03-04,1918-03-04,1994.0
1918-03-05,1918-03-05,1992.0
1918-03-06,1918-03-06,1990.0
1918-03-07,1918-03-07,1990.0
1918-03-08,1918-03-08,1988.0
1918-03-09,1918-03-09,1988.0
1918-03-10,1918-03-10,1986.0
1918-03-11,1918-03-11,1984.0
1918-03-12,1918-03-12,1982.0
1918-03-13,1918-03-13,1980.0
1918-03-14,1918-03-14,1978.0
1918-03-15,1918-03-15,1976.0
1918-03-16,1918-03-16,1974.0
1918-03-17,1918-03-17,1972.0
1918-03-18,1918-03-18,1970.0
1918-03-19,1918-03-19,1968.0
1918-03-20,1918-03-20,1966.0
1918-03-21,1918-03-21,1964.0
1918-03-22,1918-03-22,1962.0
1918-03-23,1918-03-23,1960.0
1918-03-24,1918-03-24,1958.0
1918-03-25,1918-03-25,1956.0
1918-03-26,1918-03-26,1954.0
1918-03-27,1918-03-27,1952.0
